                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0909,                 2.4572,                 1.5569,                0.70762,                0.86667,                0.85468,                0.61663,                0.62119,                 11.812,                 1.1418,                 0.0004,                 0.0004,                 0.0004
                      2,                 0.9387,                 1.2425,                 1.3578,                0.80125,                0.73333,                0.90796,                0.54515,                 1.0302,                 3.5141,                 1.6244,             0.00081323,             0.00081323,             0.00081323
                      3,                 1.0202,                 1.0373,                 1.3791,                0.07936,                0.73333,                0.08049,                0.05264,                 1.0437,                 8.8138,                 1.7636,              0.0012195,              0.0012195,              0.0012195
                      4,                 1.1127,                0.99528,                 1.5148,                0.00333,                    0.6,                 0.0025,                0.00051,                 2.9406,                    inf,                 32.427,              0.0016189,              0.0016189,              0.0016189
                      5,                 1.1034,                 1.0081,                 1.4595,                0.03679,                0.06667,                0.00339,                0.00046,                 4.8687,                 19.946,                 11.671,               0.001934,               0.001934,               0.001934
                      6,                 1.2198,                 1.0125,                 1.5227,                0.19714,                0.13333,                0.10239,                0.01908,                 3.7024,                 2.6937,                 5.1657,               0.001934,               0.001934,               0.001934
                      7,                  1.157,                0.89945,                 1.5476,                0.94731,                0.26667,                0.40363,                0.28049,                 1.7937,                 2.2525,                 2.6162,              0.0019175,              0.0019175,              0.0019175
                      8,                 1.1508,                0.87286,                 1.5075,                0.36598,                    0.2,                0.23564,                0.07429,                 2.9803,                  2.952,                 3.7655,               0.001901,               0.001901,               0.001901
                      9,                 1.1186,                0.85343,                 1.4699,                0.91752,                    0.4,                0.56228,                0.35516,                 1.4792,                 1.4918,                 2.0077,              0.0018845,              0.0018845,              0.0018845
                     10,                  1.094,                0.85282,                 1.4352,                0.51431,                0.73333,                0.64143,                0.40596,                  1.366,                 1.4077,                 2.0412,               0.001868,               0.001868,               0.001868
                     11,                 1.0292,                0.78663,                 1.4182,                0.95717,                      1,                  0.995,                0.77982,                0.81456,                0.96243,                 1.6288,              0.0018515,              0.0018515,              0.0018515
                     12,                 1.1026,                0.82296,                 1.4554,                0.99525,                      1,                  0.995,                0.79536,                0.84405,                0.59957,                 1.5689,               0.001835,               0.001835,               0.001835
                     13,                 1.0803,                0.77903,                 1.4186,                0.79276,                0.93333,                0.94909,                0.76149,                 0.8165,                0.76208,                 1.6119,              0.0018185,              0.0018185,              0.0018185
                     14,                 1.0705,                0.74414,                 1.4329,                0.30784,                0.74143,                 0.4349,                0.16372,                  1.797,                 1.8679,                 2.1454,               0.001802,               0.001802,               0.001802
                     15,                 1.0608,                 0.7837,                 1.4085,                0.89944,                0.86667,                 0.9238,                0.62694,                 1.0062,                 1.3775,                 1.6502,              0.0017855,              0.0017855,              0.0017855
                     16,                0.98968,                0.66453,                  1.388,                0.87548,                0.93765,                0.97861,                0.46579,                 1.6304,                 1.1784,                  1.981,               0.001769,               0.001769,               0.001769
                     17,                0.98156,                0.68372,                 1.3636,                0.93532,                      1,                0.99125,                0.79098,                0.89451,                0.61707,                 1.5913,              0.0017525,              0.0017525,              0.0017525
                     18,                0.94859,                0.66945,                  1.344,                      1,                0.99285,                  0.995,                0.76003,                0.82507,                 0.7973,                 1.4665,               0.001736,               0.001736,               0.001736
                     19,                0.95974,                0.66209,                 1.3621,                0.75322,                0.86667,                0.77916,                0.49812,                0.94953,                 1.2684,                 1.5357,              0.0017195,              0.0017195,              0.0017195
                     20,                0.89788,                0.61452,                  1.333,                0.92967,                      1,                0.95375,                0.76327,                0.73268,                 0.5811,                 1.3006,               0.001703,               0.001703,               0.001703
                     21,                0.99357,                 0.6392,                 1.3404,                0.92652,                      1,                0.96625,                0.74291,                0.85475,                0.65063,                 1.4718,              0.0016865,              0.0016865,              0.0016865
                     22,                0.99652,                0.68615,                 1.3761,                0.91147,                0.93333,                0.98794,                0.76174,                0.92079,                0.90701,                 1.5734,                0.00167,                0.00167,                0.00167
                     23,                0.90138,                0.61469,                 1.3151,                0.93078,                      1,                0.99125,                0.74516,                0.91299,                0.69529,                 1.6245,              0.0016535,              0.0016535,              0.0016535
                     24,                0.88619,                0.62692,                 1.2851,                 0.9946,                      1,                  0.995,                0.81517,                0.69742,                0.56383,                 1.4663,               0.001637,               0.001637,               0.001637
                     25,                0.88821,                0.62624,                 1.2937,                0.96982,                      1,                  0.995,                0.76978,                0.73422,                0.75604,                  1.427,              0.0016205,              0.0016205,              0.0016205
                     26,                0.89788,                0.61428,                 1.2591,                0.92983,                      1,                0.99125,                0.84049,                0.61063,                0.56164,                 1.3213,               0.001604,               0.001604,               0.001604
                     27,                0.99181,                0.62738,                 1.4159,                0.93672,                0.98745,                0.98688,                0.88309,                0.69823,                0.61971,                 1.2594,              0.0015875,              0.0015875,              0.0015875
                     28,                0.94027,                0.64863,                 1.3486,                0.99186,                      1,                  0.995,                0.84485,                0.74103,                0.63061,                 1.3723,               0.001571,               0.001571,               0.001571
                     29,                0.95119,                0.64752,                 1.3256,                0.98914,                      1,                  0.995,                0.84779,                0.69857,                0.48439,                 1.3733,              0.0015545,              0.0015545,              0.0015545
                     30,                0.85821,                 0.6068,                 1.2888,                0.97411,                      1,                  0.995,                0.85649,                0.64152,                 0.7972,                 1.1907,               0.001538,               0.001538,               0.001538
                     31,                0.82981,                0.55856,                 1.2194,                  0.995,                      1,                  0.995,                0.83636,                0.72846,                0.56575,                 1.2571,              0.0015215,              0.0015215,              0.0015215
                     32,                0.85448,                0.57935,                 1.2769,                0.98481,                      1,                  0.995,                0.87814,                0.54385,                0.45489,                 1.1125,               0.001505,               0.001505,               0.001505
                     33,                0.78888,                 0.5849,                 1.2333,                0.94286,                      1,                  0.995,                0.88546,                0.55191,                0.48226,                 1.0758,              0.0014885,              0.0014885,              0.0014885
                     34,                0.80418,                0.57813,                 1.2695,                0.92618,                      1,                  0.995,                0.94373,                0.47782,                0.44178,                0.99554,               0.001472,               0.001472,               0.001472
                     35,                0.86119,                0.57757,                 1.2737,                0.99307,                      1,                  0.995,                0.87309,                0.54482,                0.45385,                 1.0872,              0.0014555,              0.0014555,              0.0014555
                     36,                0.86842,                0.56724,                 1.2539,                      1,                0.98617,                  0.995,                0.87028,                0.57207,                0.53714,                 1.1934,               0.001439,               0.001439,               0.001439
                     37,                0.82618,                0.54611,                 1.2414,                0.99626,                      1,                  0.995,                0.89719,                0.48564,                0.40178,                 1.0922,              0.0014225,              0.0014225,              0.0014225
                     38,                0.82957,                0.55204,                 1.2236,                0.99317,                      1,                  0.995,                0.91883,                0.51311,                0.39538,                 1.0663,               0.001406,               0.001406,               0.001406
                     39,                0.79901,                0.57368,                 1.2414,                      1,                0.99898,                  0.995,                0.88464,                  0.493,                0.46752,                 1.0766,              0.0013895,              0.0013895,              0.0013895
                     40,                0.79284,                0.53309,                 1.2323,                      1,                0.99693,                  0.995,                0.89963,                0.63213,                0.53322,                 1.1566,               0.001373,               0.001373,               0.001373
                     41,                0.81569,                0.54142,                 1.2357,                0.86471,                      1,                0.98688,                0.83967,                0.54057,                0.53957,                 1.0651,              0.0013565,              0.0013565,              0.0013565
                     42,                0.87865,                0.56397,                 1.2455,                      1,                0.97385,                  0.995,                0.83783,                0.75863,                0.61671,                 1.2343,                0.00134,                0.00134,                0.00134
                     43,                0.82899,                0.57178,                 1.2034,                0.99037,                      1,                  0.995,                0.86595,                0.68345,                0.49209,                  1.253,              0.0013235,              0.0013235,              0.0013235
                     44,                0.81555,                0.50516,                 1.2383,                0.98776,                      1,                  0.995,                0.81052,                0.77151,                0.48201,                 1.5159,               0.001307,               0.001307,               0.001307
                     45,                0.80237,                0.51338,                 1.2245,                0.99598,                      1,                  0.995,                0.79914,                0.76848,                0.51996,                 1.4288,              0.0012905,              0.0012905,              0.0012905
                     46,                0.83739,                0.53321,                 1.2156,                0.99306,                      1,                  0.995,                0.89135,                0.55083,                0.39081,                 1.1248,               0.001274,               0.001274,               0.001274
                     47,                0.80926,                 0.5415,                 1.2315,                0.98944,                      1,                  0.995,                0.91528,                0.53113,                0.44286,                 1.0885,              0.0012575,              0.0012575,              0.0012575
                     48,                0.80427,                0.52585,                 1.2583,                 0.9882,                      1,                  0.995,                 0.8785,                0.49779,                0.39521,                 1.0734,               0.001241,               0.001241,               0.001241
                     49,                0.81934,                0.52944,                 1.2176,                0.98839,                      1,                  0.995,                0.92462,                0.48507,                0.40295,                 1.0651,              0.0012245,              0.0012245,              0.0012245
                     50,                0.76846,                0.50645,                 1.1971,                 0.9924,                      1,                  0.995,                0.89435,                0.50697,                0.38548,                 1.0833,               0.001208,               0.001208,               0.001208
                     51,                0.76517,                0.52447,                 1.1889,                0.98656,                      1,                  0.995,                0.89937,                0.50724,                0.41876,                 1.0695,              0.0011915,              0.0011915,              0.0011915
